catalogue,site,publisher,licence,status
app.bookteq.com,https://bedfordtownfootballclub.bookteq.com/api/open-active,Bedford Town Football Club,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://bishopchallonersportscentre.bookteq.com/api/open-active,Bishop Challoner Sports Centre,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://blueflamessportingclublimited.bookteq.com/api/open-active,Blue Flames Sporting Club Limited,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://bolderacademy.bookteq.com/api/open-active,Bolder Academy,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://broughtontowncouncil.bookteq.com/api/open-active,Broughton Town Council ,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://bryntegschool.bookteq.com/api/open-active,Brynteg School,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://chauncyschool.bookteq.com/api/open-active,Chauncy School,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://coramsfields.bookteq.com/api/open-active,Coram's Fields,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://coramsfieldsindoorspaces.bookteq.com/api/open-active,Coram's Fields,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://danburyparishcouncil.bookteq.com/api/open-active,Danbury Parish Council,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://debdaleparksports.bookteq.com/api/open-active,Debdale Park Sports & Recreation Club,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://didcottowncouncil.bookteq.com/api/open-active,Didcot Town Council,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://ealingboroughcouncil.bookteq.com/api/open-active,London Borough of Ealing Council,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://earlsdon.bookteq.com/api/open-active,Earlsdon Rugby Club,https://creativecommons.org/licenses/by/4.0/,COMPLETE
