level,url,status,seconds,platform,publisher,kind,declared
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-facility-uses?afterTimestamp=44337604&afterId=CQUICKINDUCTION,COMPLETE,0.1,opendata.leisurecloud.live,Chelmsford City Sports,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-slots,COMPLETE,0.1,opendata.leisurecloud.live,Chelmsford City Sports,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-slots?afterTimestamp=42607341&afterId=CFOOTBALL_2026-07-15T19-00-00,COMPLETE,0.1,opendata.leisurecloud.live,Chelmsford City Sports,Slot,
site,https://connect.pembrokeshire.gov.uk/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Pembrokeshire Leisure,,5
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-course-instance,COMPLETE,0.11,opendata.leisurecloud.live,Pembrokeshire Leisure,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-course-instance?afterTimestamp=0&afterId=,COMPLETE,0.11,opendata.leisurecloud.live,Pembrokeshire Leisure,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-session-series,COMPLETE,0.18,opendata.leisurecloud.live,Pembrokeshire Leisure,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-session-series?afterTimestamp=237993635&afterId=PLCMX4THUREVE,COMPLETE,0.25,opendata.leisurecloud.live,Pembrokeshire Leisure,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-scheduled-sessions,COMPLETE,0.08,opendata.leisurecloud.live,Pembrokeshire Leisure,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-scheduled-sessions?afterTimestamp=246306866&afterId=00000000000801318287,COMPLETE,0.1,opendata.leisurecloud.live,Pembrokeshire Leisure,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-facility-uses,COMPLETE,0.09,opendata.leisurecloud.live,Pembrokeshire Leisure,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-facility-uses?afterTimestamp=246717772&afterId=S007,COMPLETE,0.1,opendata.leisurecloud.live,Pembrokeshire Leisure,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-slots,COMPLETE,0.11,opendata.leisurecloud.live,Pembrokeshire Leisure,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-slots?afterTimestamp=246124793&afterId=PABAC1TS_2026-07-15T00-00-00,COMPLETE,0.12,opendata.leisurecloud.live,Pembrokeshire Leisure,Slot,
site,https://conwy.gs-signature.cloud/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Conwy,,5
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-course-instance,COMPLETE,0.13,opendata.leisurecloud.live,Conwy,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-course-instance?afterTimestamp=0&afterId=,COMPLETE,0.1,opendata.leisurecloud.live,Conwy,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-session-series,COMPLETE,0.13,opendata.leisurecloud.live,Conwy,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-session-series?afterTimestamp=26249427&afterId=J1FT1AB17001225,COMPLETE,0.11,opendata.leisurecloud.live,Conwy,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-scheduled-sessions,COMPLETE,0.09,opendata.leisurecloud.live,Conwy,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-scheduled-sessions?afterTimestamp=41212763&afterId=00000000000010709487,COMPLETE,0.08,opendata.leisurecloud.live,Conwy,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-facility-uses,COMPLETE,0.1,opendata.leisurecloud.live,Conwy,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-facility-uses?afterTimestamp=35550199&afterId=BIHSQ01,COMPLETE,0.1,opendata.leisurecloud.live,Conwy,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-slots,COMPLETE,0.16,opendata.leisurecloud.live,Conwy,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-slots?afterTimestamp=39180152&afterId=HFTFS03_2026-07-15T15-15-00,COMPLETE,0.13,opendata.leisurecloud.live,Conwy,Slot,
site,https://data.everyoneactive.com/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Everyone Active,,5
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-course-instance,COMPLETE,0.11,opendata.leisurecloud.live,Everyone Active,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-course-instance?afterTimestamp=259997453&afterId=3844R28C1800226,COMPLETE,0.25,opendata.leisurecloud.live,Everyone Active,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-session-series,COMPLETE,0.13,opendata.leisurecloud.live,Everyone Active,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-session-series?afterTimestamp=4818074099&afterId=2051B4307000425,COMPLETE,0.13,opendata.leisurecloud.live,Everyone Active,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-scheduled-sessions,COMPLETE,0.09,opendata.leisurecloud.live,Everyone Active,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-scheduled-sessions?afterTimestamp=346279906&afterId=00000000000865163071,COMPLETE,0.09,opendata.leisurecloud.live,Everyone Active,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-facility-uses,COMPLETE,0.14,opendata.leisurecloud.live,Everyone Active,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-facility-uses?afterTimestamp=4820192531&afterId=169PICK060SH002,COMPLETE,0.13,opendata.leisurecloud.live,Everyone Active,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-slots,COMPLETE,0.13,opendata.leisurecloud.live,Everyone Active,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-slots?afterTimestamp=0&afterId=,COMPLETE,0.12,opendata.leisurecloud.live,Everyone Active,Slot,
site,https://lamptonleisure.gs-signature.cloud/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Lampton Leisure,,5
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-course-instance,COMPLETE,0.11,opendata.leisurecloud.live,Lampton Leisure,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-course-instance?afterTimestamp=0&afterId=,COMPLETE,0.11,opendata.leisurecloud.live,Lampton Leisure,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-session-series,COMPLETE,0.13,opendata.leisurecloud.live,Lampton Leisure,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-session-series?afterTimestamp=62552201&afterId=NCPJNG15300426,COMPLETE,0.12,opendata.leisurecloud.live,Lampton Leisure,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-scheduled-sessions,COMPLETE,0.1,opendata.leisurecloud.live,Lampton Leisure,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-scheduled-sessions?afterTimestamp=72065076&afterId=00000000000010177118,COMPLETE,0.09,opendata.leisurecloud.live,Lampton Leisure,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-facility-uses,COMPLETE,0.1,opendata.leisurecloud.live,Lampton Leisure,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-facility-uses?afterTimestamp=71449260&afterId=FALTENNIS,COMPLETE,0.11,opendata.leisurecloud.live,Lampton Leisure,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-slots,COMPLETE,0.17,opendata.leisurecloud.live,Lampton Leisure,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-slots?afterTimestamp=70784764&afterId=FALGYMPROGRAMME_2026-07-16T20-15-00,COMPLETE,0.15,opendata.leisurecloud.live,Lampton Leisure,Slot,
site,https://ledleisure.gs-signature.cloud/OpenActive/,COMPLETE,,opendata.leisurecloud.live,LED Community Leisure Ltd,,5
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-course-instance,COMPLETE,0.11,opendata.leisurecloud.live,LED Community Leisure Ltd,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-course-instance?afterTimestamp=9736417&afterId=ELCJUNIORSEA4,COMPLETE,0.12,opendata.leisurecloud.live,LED Community Leisure Ltd,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-session-series,COMPLETE,0.2,opendata.leisurecloud.live,LED Community Leisure Ltd,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-session-series?afterTimestamp=5468456&afterId=VIRTTRIPMON1,COMPLETE,0.21,opendata.leisurecloud.live,LED Community Leisure Ltd,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-scheduled-sessions,COMPLETE,0.13,opendata.leisurecloud.live,LED Community Leisure Ltd,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-scheduled-sessions?afterTimestamp=9114046&afterId=00000000000080918630,COMPLETE,0.09,opendata.leisurecloud.live,LED Community Leisure Ltd,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-facility-uses,COMPLETE,0.11,opendata.leisurecloud.live,LED Community Leisure Ltd,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-facility-uses?afterTimestamp=9509672&afterId=MU40049,COMPLETE,0.09,opendata.leisurecloud.live,LED Community Leisure Ltd,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-slots,COMPLETE,0.13,opendata.leisurecloud.live,LED Community Leisure Ltd,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-slots?afterTimestamp=7952354&afterId=STAFFTRAINING5_2026-07-15T20-00-00,COMPLETE,0.13,opendata.leisurecloud.live,LED Community Leisure Ltd,Slot,
site,https://leisuresk.leisurecloud.net/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Leisure SK,,5
feed,https://opendata.leisurecloud.live/api/feeds/LeisureSK-live-course-instance,COMPLETE,0.2,opendata.leisurecloud.live,Leisure SK,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/LeisureSK-live-course-instance?afterTimestamp=0&afterId=,COMPLETE,0.15,opendata.leisurecloud.live,Leisure SK,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/LeisureSK-live-session-series,COMPLETE,0.13,opendata.leisurecloud.live,Leisure SK,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/LeisureSK-live-session-series?afterTimestamp=78480585&afterId=A7CLLSW12300921,COMPLETE,0.09,opendata.leisurecloud.live,Leisure SK,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/LeisureSK-live-scheduled-sessions,COMPLETE,0.08,opendata.leisurecloud.live,Leisure SK,ScheduledSession,
