platform,publisher,kind,field,presence_rate,n_items
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,name,1.0,58
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,description,0.0,58
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,eventSchedule,0.0,58
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,ageRange,0.0,58
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,genderRestriction,0.0,58
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,level,0.0,58
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,url,0.0,58
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,attendeeInstructions,0.1379,58
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,superEvent,0.0,58
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,activity,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,category,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,organizer,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,offers,1.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,location,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,name,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,description,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,eventSchedule,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,ageRange,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,genderRestriction,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,level,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,url,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,attendeeInstructions,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,superEvent,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,activity,0.0,499
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,category,0.0,499
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,organizer,0.0,499
