level,url,status,seconds,platform,publisher,kind,declared
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-scheduled-sessions,COMPLETE,0.12,opendata.leisurecloud.live,Pembrokeshire Leisure,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-scheduled-sessions?afterTimestamp=246309908&afterId=00000000000801407204,COMPLETE,0.11,opendata.leisurecloud.live,Pembrokeshire Leisure,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-facility-uses,COMPLETE,0.07,opendata.leisurecloud.live,Pembrokeshire Leisure,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-facility-uses?afterTimestamp=246717772&afterId=S007,COMPLETE,0.12,opendata.leisurecloud.live,Pembrokeshire Leisure,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-slots,COMPLETE,0.13,opendata.leisurecloud.live,Pembrokeshire Leisure,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-slots?afterTimestamp=246124794&afterId=PABAC1TS_2026-07-15T01-00-00,COMPLETE,0.1,opendata.leisurecloud.live,Pembrokeshire Leisure,Slot,
site,https://conwy.gs-signature.cloud/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Conwy,,5
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-course-instance,COMPLETE,0.11,opendata.leisurecloud.live,Conwy,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-course-instance?afterTimestamp=0&afterId=,COMPLETE,0.09,opendata.leisurecloud.live,Conwy,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-session-series,COMPLETE,0.13,opendata.leisurecloud.live,Conwy,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-session-series?afterTimestamp=26474288&afterId=V3SW4PS15000426,COMPLETE,0.19,opendata.leisurecloud.live,Conwy,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/Conwy-live-scheduled-sessions,COMPLETE,0.09,opendata.leisurecloud.live,Conwy,ScheduledSession,
